ID,SEX,EDUCATION,MARRIAGE,AGE
98,1,1,2,27
99,2,3,1,22
100,1,2,1,38
101,1,1,2,32
102,2,1,2,30
103,1,1,1,63
104,2,3,2,22
105,2,2,2,26
106,2,2,2,24
107,2,2,1,36
108,1,1,2,52
109,1,2,2,38
110,1,2,1,35
111,2,1,1,31
112,1,3,1,47
113,1,2,1,41
114,2,1,2,24
115,1,2,2,41
116,1,1,2,24
117,1,1,2,28
118,1,2,2,26
119,1,2,1,34
120,2,2,2,38
121,1,3,2,37
122,1,1,1,40
123,2,1,1,48
124,2,2,1,35
125,1,1,2,27
126,1,2,2,23
127,1,3,2,52
128,1,1,1,36
129,1,2,1,51
130,1,3,1,55
131,2,1,2,23
132,1,1,2,41
133,1,2,1,34
134,1,3,1,46
135,2,2,2,22
136,1,2,1,34
137,1,1,2,27
138,2,2,1,33
139,2,3,1,51
140,1,1,2,24
141,1,1,2,47
142,1,2,2,28
143,1,2,2,23
144,1,2,2,29
145,1,1,2,29
146,1,1,2,28
147,2,2,2,27
148,1,1,2,34
149,2,2,1,23
150,2,1,1,60
151,1,2,1,32
152,1,1,2,25
153,1,1,2,41
154,2,2,1,56
155,2,3,2,26
156,1,1,1,34
157,2,1,2,37
158,2,3,2,30
159,1,3,1,45
160,1,3,1,57
161,1,1,2,41
162,1,2,2,27
163,1,3,1,47
164,2,1,1,34
165,2,2,1,46
166,2,1,2,27
167,1,1,2,50
168,1,2,1,27
169,2,2,1,35
170,2,2,2,22
171,1,2,2,37
172,2,1,2,30
173,2,2,2,22
174,2,1,2,24
175,1,1,2,29
176,1,3,1,56
177,1,1,2,30
178,1,2,2,30
179,2,2,2,22
180,2,2,1,29
181,1,1,2,37
182,2,3,2,35
183,2,1,1,47
184,2,2,1,24
185,1,2,2,25
186,2,2,1,38
187,2,1,2,32
188,2,3,2,47
189,2,2,1,34
190,2,2,2,31
191,1,1,2,32
192,2,1,2,27
193,2,1,2,29
194,2,1,2,24
195,1,2,1,36
196,2,1,2,24
197,2,2,1,34
198,2,1,2,22
199,2,1,1,34
200,2,3,2,22
201,2,1,1,38
202,1,1,2,31
203,2,1,2,26
204,1,2,2,26
205,2,2,1,48
206,1,3,1,43
207,1,1,1,47
208,2,2,1,41
209,2,2,2,24
210,2,1,1,50
211,1,1,2,24
212,2,1,1,38
213,2,3,1,43
214,1,2,2,39
215,1,2,2,27
216,1,3,1,42
217,2,2,1,36
218,1,2,2,36
219,2,3,0,31
220,2,1,2,38
221,2,1,1,40
222,2,3,2,45
223,2,2,2,35
224,2,2,2,33
225,2,3,2,37
226,2,1,2,28
227,1,3,1,44
228,1,2,1,37
229,1,2,2,23
230,2,3,2,24
231,2,1,2,24
232,1,2,2,23
233,1,2,1,26
234,1,2,2,34
235,2,2,1,33
236,1,1,2,35
237,2,2,2,27
238,2,1,2,31
239,2,3,1,50
240,2,2,3,41
241,2,1,2,28
242,1,1,2,39
243,2,2,2,27
244,2,1,2,32
245,2,1,2,40
246,2,2,2,40
247,2,2,1,75
248,2,2,2,27
249,1,1,2,25
250,1,3,1,46
251,2,2,2,26
252,1,2,2,28
253,2,2,2,26
254,2,1,2,28
255,2,2,2,29
256,1,2,1,25
257,2,2,1,48
258,2,2,1,33
259,2,3,1,43
260,1,1,1,48
261,2,1,2,29
262,1,2,2,29
263,2,1,1,38
264,2,1,2,37
265,2,1,2,37
266,2,2,1,25
267,1,3,2,23
268,2,3,2,49
269,2,1,2,48
270,1,2,2,27
271,1,3,2,32
272,1,1,1,34
273,2,1,2,58
274,2,2,2,33
275,2,2,2,28
276,2,2,2,36
277,1,1,1,40
278,2,1,2,26
279,1,3,1,33
280,2,2,1,31
281,2,1,2,27
282,1,2,1,44
283,2,3,2,30
284,2,1,2,28
285,2,3,1,32
286,2,1,1,46
287,1,1,2,38
288,2,2,1,46
289,2,2,2,25
290,2,2,1,46
291,1,1,2,33
292,2,2,2,22
293,1,2,1,43
294,1,2,2,27
295,1,1,2,29
296,1,1,2,31
297,2,2,1,29
298,2,2,1,36
299,2,1,1,36
300,1,1,2,34
301,1,2,2,37
302,2,1,2,36
303,2,3,1,40
304,2,1,2,25
305,2,1,2,27
306,2,2,2,26
307,2,2,1,36
308,2,2,1,27
309,1,3,1,55
310,2,1,2,27
311,2,2,1,38
312,2,2,1,34
313,1,1,2,40
314,2,3,1,49
315,1,1,2,27
316,1,2,2,23
317,2,2,2,36
318,2,3,1,53
319,2,3,1,46
320,1,2,2,29
321,1,2,2,29
322,2,1,2,27
323,1,2,2,24
324,2,2,1,28
325,2,2,2,32
326,1,2,2,43
327,2,2,1,41
328,2,2,1,34
329,1,2,1,55
330,1,1,1,40
331,2,2,1,37
332,2,2,2,40
333,2,1,2,28
334,2,2,1,43
335,1,1,2,27
336,2,1,2,28
337,2,1,2,30
338,2,2,2,31
339,2,2,1,31
340,2,1,2,34
341,2,2,2,30
342,1,2,2,36
343,2,1,2,29
344,1,1,1,39
345,2,1,2,26
346,2,1,2,29
347,2,2,2,26
348,2,2,2,29
349,2,2,2,31
350,2,2,2,26
351,1,1,2,26
352,1,1,1,36
353,1,1,2,30
354,2,2,2,43
355,1,3,1,58
356,1,2,1,45
357,2,2,2,26
358,1,2,2,34
359,2,4,2,24
360,1,1,1,34
361,2,2,2,23
362,2,2,2,30
363,1,2,2,32
364,1,1,1,40
365,2,1,2,35
366,2,2,1,56
367,2,2,1,61
368,1,2,2,24
369,1,1,1,40
370,2,2,1,32
371,1,2,1,36
372,1,1,2,30
373,2,1,2,34
374,1,3,3,54
375,1,1,1,46
376,1,3,1,58
377,1,2,1,43
378,2,1,2,28
379,1,1,2,30
380,1,2,2,31
381,2,2,2,29
382,2,2,1,37
383,1,3,1,36
384,2,2,2,28
385,1,2,2,25
386,2,5,1,42
387,2,1,2,29
388,1,3,1,73
389,1,2,1,43
390,1,1,1,30
391,1,1,1,38
392,2,2,1,39
393,1,2,1,44
394,2,2,2,29
395,1,1,1,51
396,2,1,2,27
397,1,1,2,38
398,2,2,2,22
399,2,2,1,30
400,2,2,2,25
401,1,1,2,29
402,2,3,3,42
403,1,1,2,41
404,1,2,1,48
405,2,1,2,29
406,1,1,1,52
407,2,2,1,25
408,1,1,1,37
409,2,1,2,27
410,1,1,2,31
411,2,1,2,23
412,2,1,1,38
413,2,1,1,32
414,2,2,2,27
415,2,3,1,41
416,2,3,1,35
417,2,1,2,31
418,2,1,2,30
419,1,2,1,48
420,2,1,2,36
421,1,1,2,24
422,2,1,2,29
423,2,2,2,38
424,1,2,1,38
425,2,2,1,30
426,2,2,1,32
427,2,3,2,49
428,2,1,2,31
429,1,1,2,27
430,2,2,2,33
431,2,2,2,25
432,2,1,2,27
433,2,1,2,29
434,2,1,1,36
435,1,3,1,55
436,2,2,1,32
437,2,1,2,27
438,1,3,1,37
439,2,1,1,25
440,2,1,2,23
441,1,2,2,23
442,1,1,2,32
443,2,1,2,26
444,2,1,2,27
445,1,1,2,44
446,1,2,2,34
447,2,1,2,28
448,2,1,1,53
449,1,4,1,42
450,2,3,1,30
451,1,1,1,51
452,1,1,1,53
453,1,2,2,37
454,2,1,2,26
455,1,2,2,42
456,1,2,2,39
457,1,3,2,39
458,1,1,2,32
459,2,2,1,41
460,1,2,1,48
461,2,2,1,38
462,2,2,1,36
463,2,2,2,26
464,2,1,2,28
465,2,3,3,56
466,1,1,1,59
467,1,1,2,38
468,1,2,2,32
469,1,2,1,38
470,2,1,1,41
471,2,3,2,35
472,2,2,2,41
473,1,2,1,34
474,1,3,1,38
475,2,2,1,32
476,2,2,2,29
477,1,1,2,44
478,2,2,1,37
479,2,1,1,38
480,1,1,2,31
481,2,2,1,40
482,1,2,2,26
483,2,2,2,28
484,1,3,1,48
485,2,2,1,43
486,1,2,1,31
487,2,1,1,42
488,1,2,1,39
489,2,2,1,36
490,2,1,1,34
491,2,2,2,32
492,2,2,1,43
493,1,2,2,30
494,2,2,2,28
495,2,1,1,28
496,1,1,1,41
497,2,3,2,47
498,1,2,2,23
499,2,1,1,49
500,1,1,1,38
501,2,2,1,38
502,2,2,1,35
503,2,6,2,46
504,2,1,1,33
505,1,6,1,53
506,1,1,2,35
507,2,2,2,43
508,2,2,2,28
509,2,2,1,30
510,1,1,2,26
511,1,2,1,31
512,2,2,2,35
513,1,1,2,28
514,1,2,2,23
515,2,2,2,23
516,1,3,1,56
517,1,3,1,32
518,1,2,1,47
519,2,2,2,22
520,2,1,1,34
521,2,1,1,31
522,2,2,2,27
523,1,1,2,28
524,2,2,1,42
525,2,1,2,32
526,2,2,2,27
527,1,2,2,27
528,2,2,1,45
529,1,1,2,26
530,2,2,2,21
531,1,2,2,23
532,1,2,3,30
533,1,2,2,46
534,2,3,1,50
535,1,1,2,26
536,1,2,2,25
537,2,1,2,35
538,1,2,1,44
539,2,1,2,52
540,2,2,1,40
541,2,1,2,38
542,2,1,2,28
543,2,2,1,36
544,2,1,2,24
545,2,1,1,34
546,2,1,2,31
547,2,1,1,41
548,2,2,2,25
549,2,1,2,28
550,1,1,2,27
551,1,3,1,52
552,2,1,2,41
553,1,1,1,56
554,2,1,1,42
555,2,2,2,24
556,2,2,1,47
557,2,1,1,33
558,2,2,2,32
559,1,2,2,29
560,2,3,1,53
561,1,1,2,34
562,2,2,2,52
563,2,2,1,42
564,1,2,2,38
565,2,1,2,45
566,2,3,2,35
567,2,1,2,24
568,1,1,2,28
569,1,3,2,26
570,2,1,1,40
571,2,1,2,29
572,2,2,2,23
573,1,1,2,33
574,2,2,2,60
575,2,3,1,49
576,1,1,1,53
577,2,1,2,28
578,1,1,2,31
579,1,2,2,36
580,1,2,1,35
581,1,2,2,28
582,1,2,2,33
583,1,1,2,26
584,2,3,2,53
585,1,2,2,42
586,2,1,2,25
587,1,1,1,43
588,1,3,2,25
589,2,2,2,29
590,2,2,1,31
591,2,1,1,30
592,1,1,2,34
593,1,1,1,35
594,1,2,1,32
595,1,3,2,46
596,1,1,1,43
597,1,2,2,29
598,2,3,2,31
599,2,2,2,24
600,2,2,1,36
601,2,2,1,43
602,1,3,1,59
603,1,1,1,53
604,2,2,2,28
605,2,2,2,31
606,1,1,2,34
607,2,2,1,36
608,2,1,2,24
609,2,3,1,36
610,2,2,1,34
611,1,1,2,43
612,2,1,2,29
613,1,2,1,37
614,1,2,2,23
615,2,2,1,37
616,1,1,2,33
617,2,1,1,37
618,2,2,1,56
619,1,1,2,25
620,2,2,1,39
621,2,2,1,39
622,2,2,2,28
623,2,1,2,27
624,2,2,1,37
625,2,1,2,24
626,2,2,2,24
627,1,1,1,46
628,1,1,1,39
629,1,3,1,48
630,2,3,3,45
631,1,3,2,49
632,2,2,2,23
633,2,3,1,25
634,2,2,1,47
635,1,3,1,56
636,2,3,1,44
637,2,3,1,49
638,1,2,1,41
639,2,1,2,40
640,1,2,2,31
641,1,2,1,42
642,2,3,1,28
643,2,2,2,32
644,1,2,2,28
645,2,2,1,31
646,1,3,2,39
647,1,3,1,31
648,2,2,2,24
649,2,2,1,44
650,2,2,2,46
651,1,1,2,32
652,2,2,2,26
653,2,1,2,22
654,2,1,1,42
655,1,2,2,33
656,1,2,1,39
657,2,3,2,27
658,2,1,2,28
659,2,1,2,23
660,2,2,2,28
661,2,1,1,33
662,1,2,1,40
663,2,1,2,37
664,1,1,2,22
665,2,2,1,32
666,2,3,1,43
667,2,3,1,27
668,2,2,1,35
669,2,3,1,35
670,2,1,1,30
671,2,2,2,34
672,1,2,1,34
673,2,1,2,28
674,1,2,2,25
675,2,1,1,41
676,1,3,2,42
677,1,2,2,40
678,1,1,2,28
679,2,2,2,31
680,2,1,2,56
681,2,2,3,45
682,2,1,2,29
683,2,1,1,35
684,2,2,2,28
685,1,1,1,40
686,1,1,1,47
687,2,3,1,41
688,2,2,2,27
689,1,1,1,40
690,1,2,2,32
691,1,2,2,35
692,1,2,2,27
693,2,2,1,29
694,1,1,2,30
695,1,2,1,37
696,2,1,2,29
697,2,1,1,34
698,2,2,2,34
699,1,1,1,41
700,2,1,2,31
701,2,2,2,40
702,2,1,1,27
703,2,3,2,22
704,2,2,3,30
705,2,2,3,22
706,1,1,2,26
707,1,2,1,38
708,2,3,1,46
709,1,2,2,24
710,1,2,2,49
711,1,1,3,49
712,2,2,1,42
713,2,1,1,30
714,1,2,1,42
715,2,1,2,31
716,2,2,1,49
717,2,2,2,27
718,2,2,1,33
719,2,1,1,35
720,2,2,2,48
721,2,2,2,22
722,1,2,2,22
723,2,1,2,27
724,1,1,1,47
725,2,2,2,34
726,1,2,1,45
727,2,2,2,39
728,1,2,2,33
729,2,2,2,29
730,1,1,2,29
731,2,3,2,26
732,1,2,1,38
733,1,1,2,34
734,2,1,1,37
735,1,2,1,57
736,2,3,1,50
737,2,3,2,28
738,2,1,2,31
739,2,1,2,25
740,2,2,2,25
741,2,2,1,33
742,2,1,2,30
743,2,1,1,51
744,1,1,2,51
745,2,2,1,46
746,1,3,2,38
747,2,2,1,34
748,2,3,1,34
749,2,1,2,31
750,2,2,2,25
751,2,2,1,26
752,2,1,2,25
753,1,2,2,26
754,2,2,2,43
755,2,2,1,36
756,1,2,2,58
757,2,2,2,26
758,2,2,1,30
759,2,2,2,31
760,2,2,2,24
761,2,2,2,52
762,2,2,2,24
763,2,2,1,35
764,2,3,2,29
765,2,2,1,33
766,2,1,2,35
767,2,2,1,35
768,2,1,2,28
769,1,2,1,40
770,2,1,1,35
771,2,2,2,53
772,1,1,2,44
773,1,2,1,33
774,2,2,1,32
775,2,1,2,33
776,2,1,2,26
777,1,1,2,26
778,1,2,2,26
779,2,1,1,32
780,2,2,2,31
781,1,1,2,29
782,1,2,1,27
783,2,1,2,28
784,2,1,1,42
785,2,2,1,32
786,2,1,2,26
787,2,1,2,38
788,2,1,1,35
789,1,2,2,29
790,2,2,2,29
791,2,2,2,51
792,1,1,2,27
793,1,1,2,32
794,2,3,1,40
795,2,1,1,34
796,2,2,1,30
797,2,1,2,29
798,2,1,2,22
799,2,1,2,48
800,2,2,1,35
801,1,1,2,37
802,1,2,2,25
803,2,3,1,44
804,2,1,2,28
805,1,2,2,29
806,2,1,1,36
807,2,2,2,23
808,2,3,2,36
809,2,1,2,26
810,2,2,0,37
811,2,1,3,44
812,2,1,1,39
813,2,1,2,24
814,2,3,1,29
815,1,3,1,33
816,2,2,1,39
817,1,3,1,51
818,2,3,2,24
819,2,2,1,45
820,1,1,2,30
821,2,3,0,51
822,2,2,2,24
823,1,2,1,50
824,2,1,2,22
825,1,1,2,27
826,2,2,2,33
827,2,2,1,24
828,1,2,2,37
829,2,2,1,58
830,2,2,1,48
831,1,1,2,28
832,2,3,1,24
833,2,2,1,27
834,2,3,2,30
835,2,1,2,23
836,2,3,2,53
837,2,2,2,23
838,2,2,1,55
839,1,2,1,34
840,1,1,1,43
841,2,2,2,22
842,2,2,1,31
843,2,2,1,32
844,2,2,2,33
845,1,3,1,39
846,2,1,1,38
847,2,2,1,34
848,1,2,3,42
849,1,3,1,37
850,2,3,1,57
851,2,2,2,23
852,1,2,2,32
853,1,1,1,37
854,2,2,2,23
855,2,3,2,49
856,2,2,2,25
857,2,1,2,29
858,2,3,1,43
859,1,2,2,29
860,2,2,2,27
861,1,1,2,26
862,1,1,1,41
863,2,3,2,52
864,2,2,1,31
865,1,1,2,32
866,2,2,1,46
867,2,2,2,35
868,1,1,2,35
869,2,2,1,39
870,2,2,2,34
871,2,2,3,52
872,2,3,1,40
873,2,3,1,38
874,1,1,1,45
875,2,3,1,40
876,2,2,1,25
877,1,1,2,33
878,2,2,2,27
879,2,2,1,43
880,2,2,1,43
881,1,1,2,30
882,2,2,1,49
883,2,1,2,38
884,1,3,2,57
885,1,3,2,55
886,2,2,2,23
887,1,1,2,30
888,2,2,1,30
889,2,2,2,24
890,1,2,2,28
891,2,3,1,34
892,1,2,2,37
893,2,2,1,32
894,1,1,2,27
895,2,2,1,37
896,1,1,2,31
897,1,1,3,55
898,2,1,2,28
899,2,3,3,51
900,1,1,1,36
901,1,1,2,30
902,2,1,1,36
903,1,2,2,25
904,1,3,1,50
905,2,2,2,40
906,2,2,2,27
907,1,1,2,30
908,2,2,2,26
909,1,1,2,27
910,2,1,2,27
911,2,1,2,25
912,1,1,2,32
913,2,3,1,46
914,1,3,1,45
915,1,3,1,30
916,1,1,1,39
917,1,1,1,48
918,1,1,2,32
919,1,1,2,46
920,2,1,2,23
921,2,1,2,33
922,2,1,2,24
923,1,1,1,40
924,2,1,2,24
925,2,2,2,24
926,1,1,2,27
927,1,2,1,46
928,2,2,2,22
929,2,1,2,36
930,1,1,1,34
931,2,2,2,24
932,1,1,1,60
933,2,2,2,29
934,1,2,2,32
935,2,2,1,36
936,1,2,2,30
937,2,2,2,29
938,1,1,2,34
939,2,2,1,32
940,2,2,1,32
941,2,1,2,25
942,1,2,1,44
943,2,1,1,37
944,2,2,2,24
945,2,2,2,23
946,2,1,2,29
947,2,2,1,37
948,1,2,1,59
949,1,2,2,33
950,2,3,1,51
951,1,1,1,27
952,2,2,1,32
953,2,3,2,42
954,1,2,2,39
955,2,2,1,46
956,1,1,1,41
957,2,2,2,30
958,2,1,1,34
959,1,1,2,35
960,1,1,2,41
961,1,1,2,43
962,1,2,2,47
963,1,2,2,31
964,1,2,2,30
965,1,2,2,24
966,1,1,1,36
967,1,1,2,28
968,2,1,1,36
969,2,2,1,27
970,2,2,1,32
971,1,1,1,42
972,2,2,1,33
973,2,3,1,39
974,2,1,3,30
975,1,2,1,30
976,2,2,2,22
977,1,2,2,25
978,1,1,2,28
979,1,2,2,26
980,2,3,1,54
981,2,1,2,24
982,1,2,2,29
983,1,1,2,36
984,1,3,1,49
985,2,1,2,23
986,1,3,2,43
987,2,2,1,33
988,1,3,1,53
989,2,2,2,25
990,1,3,1,54
991,2,3,1,39
992,2,1,1,44
993,2,2,2,27
994,2,1,2,25
995,2,1,2,29
996,1,1,2,39
997,1,1,1,45
998,1,1,1,38
999,2,2,2,23
1000,1,2,2,25
1001,1,2,1,29
1002,2,2,1,28
1003,2,2,1,40
1004,1,1,2,36
1005,2,3,2,30
1006,1,1,2,29
1007,2,2,2,36
1008,2,2,1,37
1009,1,2,2,34
1010,2,1,2,27
1011,1,1,2,31
1012,2,1,1,31
1013,1,1,2,38
1014,1,2,2,36
1015,1,1,1,46
1016,2,1,1,36
1017,2,1,2,26
1018,2,3,2,57
1019,2,3,1,40
1020,2,3,0,45
1021,1,1,3,57
1022,2,2,2,25
1023,2,3,1,37
1024,2,1,1,35
1025,1,2,2,33
1026,1,1,1,38
1027,1,2,2,31
1028,2,1,2,41
1029,1,1,2,33
1030,2,2,1,67
1031,2,1,1,40
1032,1,1,2,33
1033,2,1,2,31
1034,2,2,2,35
1035,2,2,3,39
1036,1,2,2,27
1037,1,1,2,23
1038,1,3,1,54
1039,2,3,2,23
1040,1,3,2,24
1041,1,2,2,26
1042,2,2,2,52
1043,2,2,1,42
1044,2,1,2,36
1045,2,1,2,22
1046,2,1,2,23
1047,1,3,1,30
1048,2,3,2,24
1049,2,1,1,42
1050,1,2,1,49
1051,1,2,2,31
1052,2,3,2,33
1053,1,1,1,42
1054,1,3,2,41
1055,1,2,1,53
1056,1,2,2,23
1057,2,1,2,33
1058,2,2,1,29
1059,2,3,1,67
1060,1,3,1,33
1061,2,3,1,34
1062,1,2,1,49
1063,2,2,1,56
1064,1,1,1,42
1065,2,3,1,55
1066,2,2,1,25
1067,1,3,2,30
1068,1,2,2,43
1069,1,1,2,40
1070,2,1,2,35
1071,1,1,1,61
1072,2,2,1,44
1073,1,1,2,33
1074,1,6,1,66
1075,2,2,2,40
1076,1,3,2,47
1077,1,1,2,27
1078,1,1,2,35
1079,2,3,1,47
1080,2,3,1,39
1081,2,2,2,29
1082,1,2,1,32
1083,2,1,2,30
1084,2,1,2,25
1085,2,2,2,23
1086,2,2,1,43
1087,2,2,1,41
1088,2,2,1,40
1089,2,3,1,35
1090,2,1,2,28
1091,2,2,2,38
1092,1,1,2,31
1093,1,3,1,29
1094,1,2,1,41
1095,1,2,2,31
1096,1,1,2,29
1097,1,1,2,26
1098,1,1,1,42
1099,1,3,2,29
1100,1,1,1,50
1101,2,3,2,46
1102,2,2,2,24
1103,2,2,1,46
1104,2,3,2,28
1105,2,2,1,35
1106,2,1,1,40
1107,2,1,1,41
1108,2,2,1,47
1109,1,2,1,54
1110,2,2,2,33
1111,1,2,2,29
1112,2,3,1,44
1113,2,2,1,24
1114,1,1,2,33
1115,1,3,1,54
1116,1,1,2,27
1117,2,2,2,37
1118,1,1,2,24
1119,2,3,1,54
1120,2,2,1,34
1121,2,2,2,40
1122,1,2,2,30
1123,1,2,2,26
1124,2,2,1,41
1125,2,2,2,29
1126,1,1,1,38
1127,2,1,2,35
1128,2,2,1,52
1129,2,1,2,29
1130,2,2,2,23
1131,2,2,1,34
1132,2,2,2,34
1133,1,1,1,44
1134,2,2,1,36
1135,1,2,2,28
1136,2,2,2,31
1137,1,2,2,31
1138,1,2,1,41
1139,2,3,1,44
1140,2,3,2,47
1141,1,2,2,25
1142,2,1,2,25
1143,2,1,1,39
1144,2,2,1,24
1145,2,2,1,35
1146,1,2,1,32
1147,2,1,2,31
1148,1,1,2,33
1149,2,1,2,30
1150,1,2,1,52
1151,2,2,1,36
1152,1,1,2,30
1153,2,2,2,42
1154,2,1,2,30
1155,1,3,1,47
1156,2,2,1,29
1157,2,1,2,23
1158,1,3,1,39
1159,2,2,1,48
1160,1,2,2,26
1161,1,1,2,33
1162,2,2,1,44
1163,2,2,1,36
1164,2,2,1,39
1165,1,2,2,24
1166,2,2,2,25
1167,1,1,2,52
1168,2,3,1,59
1169,2,1,2,23
1170,2,3,2,48
1171,2,1,2,28
1172,1,3,1,62
1173,2,3,1,38
1174,2,1,2,32
1175,2,2,1,29
1176,1,2,2,25
1177,2,2,2,35
1178,2,2,2,27
1179,1,2,2,38
1180,1,2,2,24
1181,1,2,1,29
1182,2,1,2,27
1183,2,2,1,55
1184,2,1,2,29
1185,1,1,2,29
1186,1,2,2,23
1187,1,2,1,30
1188,2,2,1,50
1189,2,2,1,38
1190,2,1,2,24
1191,2,1,2,29
1192,1,1,2,38
1193,2,2,2,34
1194,1,1,1,37
1195,2,3,1,66
1196,2,1,1,39
1197,2,2,1,45
1198,1,2,1,44
1199,2,3,2,44
1200,1,1,1,36
1201,2,3,1,40
1202,1,1,2,29
1203,2,1,2,48
1204,2,2,2,23
1205,2,2,1,50
1206,2,2,1,29
1207,2,3,1,49
1208,1,2,1,33
1209,2,2,1,51
1210,1,3,1,23
1211,2,1,1,37
1212,2,3,2,26
1213,2,1,1,30
1214,2,3,1,26
1215,1,1,2,43
1216,1,1,2,32
1217,1,3,1,54
1218,2,1,1,30
1219,2,1,2,22
1220,1,2,2,38
1221,2,2,2,24
1222,2,1,2,24
1223,1,1,2,26
1224,2,2,1,42
1225,1,2,2,21
1226,1,3,2,22
1227,2,3,1,41
1228,2,2,1,50
1229,2,2,1,23
1230,1,3,2,46
1231,2,2,2,22
1232,1,1,2,37
1233,1,1,1,47
1234,2,2,1,40
1235,2,1,2,30
1236,1,2,2,54
1237,1,2,2,27
1238,1,1,1,33
1239,1,2,1,57
1240,2,2,1,35
1241,1,1,1,45
1242,2,3,1,32
1243,2,2,1,45
1244,2,3,1,50
1245,1,3,2,35
1246,1,1,2,26
1247,1,1,1,39
1248,2,2,2,35
1249,2,3,2,42
1250,2,1,1,52
1251,1,2,2,35
1252,2,1,2,29
1253,2,1,2,22
1254,1,2,2,30
1255,1,1,1,46
1256,1,3,2,28
1257,1,1,2,26
1258,2,1,2,28
1259,1,1,2,33
1260,1,1,2,24
1261,1,1,2,37
1262,1,2,1,50
1263,1,2,1,44
1264,2,3,1,43
1265,1,2,2,29
1266,2,5,2,27
1267,2,2,1,32
1268,2,2,2,34
1269,1,2,2,37
1270,2,2,2,32
1271,2,3,1,57
1272,2,2,3,46
1273,2,1,1,53
1274,2,1,2,26
1275,1,2,1,34
1276,1,1,2,26
1277,2,2,1,54
1278,1,3,2,26
1279,1,2,2,31
1280,2,2,2,30
1281,2,1,2,31
1282,1,1,2,34
1283,2,5,2,36
1284,1,3,1,34
1285,2,2,2,26
1286,1,2,1,43
1287,2,2,1,29
1288,1,2,1,41
1289,2,3,1,48
1290,2,2,2,24
1291,2,1,2,23
1292,2,3,1,53
1293,2,2,1,34
1294,2,2,2,36
1295,1,2,2,41
1296,2,1,2,30
1297,1,2,2,29
1298,2,2,1,34
1299,2,1,2,29
1300,1,2,1,37
1301,1,3,2,36
1302,2,3,2,22
1303,2,3,2,30
1304,1,2,2,26
1305,1,2,2,25
1306,1,2,1,49
1307,2,1,2,23
1308,2,2,1,28
1309,2,2,2,24
1310,1,3,1,47
1311,1,2,1,31
1312,1,2,2,24
1313,1,2,2,32
1314,1,1,2,31
1315,2,1,1,37
1316,1,2,1,48
1317,1,2,1,49
1318,1,3,1,45
1319,2,1,1,34
1320,2,1,1,43
1321,2,1,2,31
1322,2,1,1,35
1323,2,1,1,42
1324,1,1,2,36
1325,1,2,1,51
1326,1,3,1,48
1327,1,2,1,48
1328,2,2,2,25
1329,1,2,1,41
1330,2,2,1,49
1331,1,1,2,28
1332,2,2,2,28
1333,2,2,1,38
1334,1,2,1,41
1335,2,3,2,29
1336,2,3,2,32
1337,2,2,2,26
1338,2,1,2,31
1339,2,1,2,23
1340,2,3,1,53
1341,2,3,2,49
1342,2,1,1,34
1343,2,1,2,22
1344,2,2,2,26
1345,1,1,1,38
1346,2,1,2,35
1347,2,2,1,49
1348,1,1,2,40
1349,2,1,2,34
1350,2,2,2,49
1351,1,2,2,29
1352,2,1,1,39
1353,1,1,2,30
1354,2,3,1,28
1355,2,2,1,27
1356,2,3,1,38
1357,1,2,2,29
1358,2,2,1,22
